generation,time_taken,is_valid,matches_schema,error_type
"{""company"": {""name"": ""Apple Inc."", ""location"": ""California, United States""}, ""product"": {""name"": ""iPhone 13"", ""release_date"": ""September 15, 2021""}}",4.621,True,True,
"{""company_name"": ""Ford"", ""product_name"": ""Mustang GT"", ""memo_date"": ""July 15, 2021""}",2.644,True,True,
"{""company"": ""NVIDIA"", ""stock_ticker"": ""NVDA"", ""dividend"": 0.04, ""reported_revenue"": ""18122009"", ""date"": ""2023-11-21""}",6.167,True,True,
"{""email_topic"": ""EMC"", ""sender_physical_address"": ""800.761.3108"", ""sender_phone_number"": ""www.emcfinancial.com"", ""name_of_sender"": ""Jacob""}",5.668,True,True,
"{""email_topic"": ""sender_phone_number"", ""sender_physical_address"": ""sender_phone_number"", ""sender_phone_number"": ""sender_phone_number"", ""name_of_sender"": ""name_of_sender""}",4.159,True,True,
"{""item_name"": ""Ninja CM401 Specialty 10-Cup"", ""rating"": ""4.7"", ""features"": ""4.7 out of 5"", ""color"": ""Black"", ""product_dimensions"": ""8.75""}",8.312,True,True,
"{""book_title"": ""Poor Charlie"", ""author"": ""Charles T. Munger"", ""publisher"": ""Stripe Press"", ""number_of_pages"": 384.0, ""rating"": 9.0}",10.379,True,True,
"{""product_name"": ""Xbox Series X"", ""manufacturerer"": ""Microsoft"", ""graphics_card"": ""AMD RDNA 2"", ""product_model"": ""RRT-00001+QAS-00001"", ""dimensions"": ""Height:11.85\\"", ""available_games"": ""4K UHD Blu Ray Input Devices:1""}",17.071,True,True,
"{""company"": {""name"": ""Apple Inc."", ""location"": ""California, United States""}, ""product"": {""name"": ""iPhone 13"", ""release_date"": ""September 15, 2021""}}",2.846,True,True,
"{""company_name"": ""Ford"", ""product_name"": ""Mustang GT"", ""memo_date"": ""July 15, 2021""}",2.611,True,True,
"{""company"": ""NVIDIA"", ""stock_ticker"": ""NVDA"", ""dividend"": 0.04, ""reported_revenue"": ""18122009"", ""date"": ""2023-11-21""}",6.513,True,True,
"{""email_topic"": ""EMC"", ""sender_physical_address"": ""800.761.3108"", ""sender_phone_number"": ""www.emcfinancial.com"", ""name_of_sender"": ""Jacob""}",5.272,True,True,
"{""email_topic"": ""sender_phone_number"", ""sender_physical_address"": ""sender_phone_number"", ""sender_phone_number"": ""sender_phone_number"", ""name_of_sender"": ""name_of_sender""}",4.452,True,True,
"{""item_name"": ""Ninja CM401 Specialty 10-Cup"", ""rating"": ""4.7"", ""features"": ""4.7 out of 5"", ""color"": ""Black"", ""product_dimensions"": ""8.75""}",8.85,True,True,
"{""book_title"": ""Poor Charlie"", ""author"": ""Charles T. Munger"", ""publisher"": ""Stripe Press"", ""number_of_pages"": 384.0, ""rating"": 9.0}",9.737,True,True,
"{""product_name"": ""Xbox Series X"", ""manufacturerer"": ""Microsoft"", ""graphics_card"": ""AMD RDNA 2"", ""product_model"": ""RRT-00001+QAS-00001"", ""dimensions"": ""Height:11.85\\"", ""available_games"": ""4K UHD Blu Ray Input Devices:1""}",16.46,True,True,
"{""company"": {""name"": ""Apple Inc."", ""location"": ""California, United States""}, ""product"": {""name"": ""iPhone 13"", ""release_date"": ""September 15, 2021""}}",2.744,True,True,
"{""company_name"": ""Ford"", ""product_name"": ""Mustang GT"", ""memo_date"": ""July 15, 2021""}",2.151,True,True,
"{""company"": ""NVIDIA"", ""stock_ticker"": ""NVDA"", ""dividend"": 0.04, ""reported_revenue"": ""18122009"", ""date"": ""2023-11-21""}",6.056,True,True,
"{""email_topic"": ""EMC"", ""sender_physical_address"": ""800.761.3108"", ""sender_phone_number"": ""www.emcfinancial.com"", ""name_of_sender"": ""Jacob""}",5.739,True,True,
"{""email_topic"": ""sender_phone_number"", ""sender_physical_address"": ""sender_phone_number"", ""sender_phone_number"": ""sender_phone_number"", ""name_of_sender"": ""name_of_sender""}",4.236,True,True,
"{""item_name"": ""Ninja CM401 Specialty 10-Cup"", ""rating"": ""4.7"", ""features"": ""4.7 out of 5"", ""color"": ""Black"", ""product_dimensions"": ""8.75""}",8.638,True,True,
"{""book_title"": ""Poor Charlie"", ""author"": ""Charles T. Munger"", ""publisher"": ""Stripe Press"", ""number_of_pages"": 384.0, ""rating"": 9.0}",10.161,True,True,
"{""product_name"": ""Xbox Series X"", ""manufacturerer"": ""Microsoft"", ""graphics_card"": ""AMD RDNA 2"", ""product_model"": ""RRT-00001+QAS-00001"", ""dimensions"": ""Height:11.85\\"", ""available_games"": ""4K UHD Blu Ray Input Devices:1""}",17.018,True,True,
"{""company"": {""name"": ""Apple Inc."", ""location"": ""California, United States""}, ""product"": {""name"": ""iPhone 13"", ""release_date"": ""September 15, 2021""}}",3.276,True,True,
"{""company_name"": ""Ford"", ""product_name"": ""Mustang GT"", ""memo_date"": ""July 15, 2021""}",2.53,True,True,
"{""company"": ""NVIDIA"", ""stock_ticker"": ""NVDA"", ""dividend"": 0.04, ""reported_revenue"": ""18122009"", ""date"": ""2023-11-21""}",5.999,True,True,
"{""email_topic"": ""EMC"", ""sender_physical_address"": ""800.761.3108"", ""sender_phone_number"": ""www.emcfinancial.com"", ""name_of_sender"": ""Jacob""}",5.314,True,True,
"{""email_topic"": ""sender_phone_number"", ""sender_physical_address"": ""sender_phone_number"", ""sender_phone_number"": ""sender_phone_number"", ""name_of_sender"": ""name_of_sender""}",4.672,True,True,
"{""item_name"": ""Ninja CM401 Specialty 10-Cup"", ""rating"": ""4.7"", ""features"": ""4.7 out of 5"", ""color"": ""Black"", ""product_dimensions"": ""8.75""}",8.47,True,True,
"{""book_title"": ""Poor Charlie"", ""author"": ""Charles T. Munger"", ""publisher"": ""Stripe Press"", ""number_of_pages"": 384.0, ""rating"": 9.0}",10.405,True,True,
"{""product_name"": ""Xbox Series X"", ""manufacturerer"": ""Microsoft"", ""graphics_card"": ""AMD RDNA 2"", ""product_model"": ""RRT-00001+QAS-00001"", ""dimensions"": ""Height:11.85\\"", ""available_games"": ""4K UHD Blu Ray Input Devices:1""}",16.725,True,True,
"{""company"": {""name"": ""Apple Inc."", ""location"": ""California, United States""}, ""product"": {""name"": ""iPhone 13"", ""release_date"": ""September 15, 2021""}}",2.773,True,True,
"{""company_name"": ""Ford"", ""product_name"": ""Mustang GT"", ""memo_date"": ""July 15, 2021""}",2.153,True,True,
